player,fantasy,salary,value,score,madeCut,first,topFive,topTen,topTwentyFive,eagles,birdies,pars,bogeys,doubleBogeys,team,gameInfo
A.J. Ewart,44.88,N/A,N/A,1.14,57.6%,1.24%,6.6%,12.0%,25.84%,0.2,9.96,36.42,8.98,1.18,,
Michael Brennan,51.16,$9700,5.27,0.05,65.92%,2.0%,9.68%,16.68%,34.48%,0.21,11.06,38.25,9.04,1.17,,
Emiliano Grillo,42.54,$8700,4.89,1.57,54.4%,0.56%,5.52%,10.2%,22.96%,0.19,9.61,35.59,9.02,1.18,,
Cameron Davis,26.07,$7100,3.67,4.79,29.2%,0.04%,0.4%,1.12%,4.36%,0.12,6.65,29.54,8.92,1.28,,
Tony Finau,39.1,$9800,3.99,2.24,50.04%,0.4%,3.2%,7.2%,18.28%,0.18,9.06,34.52,9.02,1.24,,
Adam Svensson,38.38,$7200,5.33,2.45,48.84%,0.4%,3.68%,6.84%,17.68%,0.16,8.97,34.14,9.09,1.23,,
Davis Riley,29.88,$7200,4.15,3.98,36.0%,0.04%,0.64%,1.92%,7.88%,0.13,7.35,31.32,8.94,1.22,,
Doug Ghim,53.93,$10400,5.19,-0.54,67.64%,2.28%,12.36%,21.88%,39.6%,0.24,11.47,38.55,8.9,1.18,,
Austin Eckroat,41.19,$8100,5.09,1.85,53.12%,0.72%,4.12%,8.64%,20.88%,0.19,9.38,35.38,8.93,1.25,,
Steven Fisk,43.06,$9000,4.78,1.49,55.6%,0.96%,5.48%,9.88%,23.24%,0.18,9.71,35.93,9,1.2,,
